sim_00_03,sim_00_07,sim_03_07
1.0000002,0.99721605,0.99721605
0.9920997,0.9424814,0.93161297
0.98915607,0.99080896,0.97802544
0.9667479,0.9816986,0.96630967
1.0000001,0.9952151,0.9952151
0.64215946,0.629043,0.8722065
0.95521677,0.5714288,0.56680095
0.903193,0.7270001,0.715925
0.77822953,0.9088305,0.8847898
0.6843904,0.71109897,0.7834964
1.0000002,0.99776775,0.9977678
0.9593266,0.975646,0.93839437
0.9660345,0.98218715,0.947166
0.47518396,0.5010731,0.731664
0.5116162,0.5081918,0.9827944
0.94540393,0.576519,0.5790273
0.99203265,0.6635305,0.659053
0.609281,0.58010626,0.759928
0.62595713,0.57611454,0.5912393
0.63028276,0.541023,0.63224673
0.9984399,1.0,0.9984399
0.97261333,0.71780854,0.71860075
1.0,0.92788523,0.92788523
0.8625359,0.7646945,0.9085955
0.98629117,0.74316835,0.75619274
0.98927283,0.6332087,0.6173817
0.9051747,0.63734853,0.5892046
0.6898091,0.62700814,0.6355843
0.58162355,0.5828767,0.7442207
0.6295339,0.51477957,0.5562969
1.0000002,1.0000002,1.0000002
0.96853894,0.9992702,0.9652371
1.0,0.83665156,0.83665156
0.9139171,0.9834553,0.8982596
1.0,0.9422092,0.9422091
0.9454493,0.800848,0.7384143
0.92646074,0.780706,0.71346027
0.96476316,0.8856339,0.8335421
0.41605076,0.59082854,0.62424016
0.6353909,0.76940405,0.6563169
1.0,0.97852075,0.97852075
0.9958881,0.9669371,0.96272457
1.0000001,0.7279834,0.7279835
1.0,0.7251539,0.7251539
0.8555856,0.7567313,0.70034397
0.80600023,0.8067907,0.9975216
0.5303101,0.5459471,0.93437755
0.7208667,0.61543024,0.69703233
0.7709205,0.57020664,0.50045794
1.0,0.7136737,0.7136737
1.0,1.0,1.0
0.99906266,0.98897374,0.9895449
0.9924843,0.9085566,0.91739696
0.99103916,0.70458156,0.70090866
0.9948501,0.7048623,0.7095789
1.0,0.7900014,0.79000133
0.9906215,0.74348474,0.7412962
0.9980056,0.85569113,0.86164033
0.9860399,0.64140797,0.648237
0.955807,0.6547973,0.65517783
0.9999999,0.9999999,0.9999999
0.98742753,0.9955837,0.9838993
0.78660506,0.9910794,0.8015021
0.69293344,0.9707109,0.67754763
0.6907209,0.993309,0.7089933
0.7283463,0.9576214,0.7330191
0.6684576,0.4794057,0.66555786
0.50654864,0.493344,0.99100244
0.5825707,0.579426,0.94265056
0.5053079,0.5181725,0.5252989
0.8062947,0.9015564,0.8073907
0.99760336,0.99760336,1.0000002
0.8812353,0.9421362,0.88830054
0.98420846,0.67578727,0.684305
0.58557504,0.71481276,0.52786076
0.5994228,0.6061649,0.54708374
0.63044477,0.6635834,0.91204727
0.5681448,0.6162741,0.6267656
0.6255623,0.6278199,0.9623486
0.45499462,0.6170896,0.5537003
0.91964537,1.0000002,0.91964537
1.0,0.9789589,0.9789589
0.9108888,0.92393506,0.86361635
0.9717038,0.9590178,0.9899666
0.6244954,0.69803226,0.5656806
0.5270605,0.94122815,0.61794734
0.6468163,0.8378639,0.6383736
0.6892932,0.64429426,0.63798165
0.5111048,0.63288796,0.58397335
0.92504746,0.72155976,0.7072948
0.8995218,0.92638487,0.9420472
0.49470505,0.5378995,0.93725467
0.79420567,0.6654149,0.80833346
0.6048387,0.6637096,0.6849012
0.47685498,0.5146206,0.60040355
0.4078027,0.5187409,0.7061635
0.52269053,0.4648862,0.48077118
0.43949813,0.7156892,0.63354176
0.523982,0.5374454,0.5323463
0.47845116,0.5512866,0.5933169
0.99381584,0.951334,0.94737846
0.8552132,1.0000002,0.8552132
0.722526,0.6110352,0.61335754
0.6802671,0.59232724,0.5862901
0.52576435,0.62823343,0.58511424
0.70910144,0.5932279,0.6351491
0.492479,0.5075321,0.6021676
0.7442913,0.62453115,0.6855226
0.7966127,0.56618035,0.5604485
0.58505553,0.9337467,0.6175922
1.0000001,0.90524846,0.90524846
0.9999999,0.9942671,0.9942671
0.9769688,0.97944856,0.9619899
1.0000001,0.87894005,0.87894005
0.74481267,0.63420635,0.78766114
0.7545526,0.73625803,0.96178836
0.9999999,0.9928268,0.9928268
0.61296177,0.7929424,0.7326207
0.78688365,0.73654556,0.67718375
0.8512988,0.84237576,0.9882372
0.97378945,0.97378945,1.0000001
0.97772336,0.99273455,0.97274303
0.6662993,0.82813007,0.8079898
0.97238857,0.9645752,0.9907631
0.843953,0.9978789,0.8377329
0.85681546,0.91563773,0.92321575
0.8076167,0.80014014,0.98575306
0.8555918,0.48434412,0.48581016
0.6327435,0.6473174,0.8162813
1.0,0.5559325,0.5559325
0.8230301,0.8230301,1.0000001
0.6580523,0.7062402,0.64026976
0.93510324,0.67348737,0.677962
0.6559989,0.70040214,0.69235337
0.9065943,0.9024738,0.98477685
0.6443971,0.67717105,0.6590959
0.6243888,0.76082265,0.65492976
0.6716882,0.7182344,0.6861837
0.6340162,0.725966,0.64091694
0.7576377,0.9949476,0.74815273
1.0000001,0.9995019,0.9995019
0.71460706,0.88080525,0.71956646
0.7161905,0.98211503,0.7132671
0.7273589,0.7227047,0.7209984
0.9418023,0.6547338,0.6482903
0.765069,0.8173392,0.8432342
0.68253267,0.6633495,0.97963345
0.680066,0.6145669,0.5324608
0.732895,0.99764836,0.7365172
0.99814606,0.65698713,0.66588014
0.9965825,0.995708,0.9965763
0.8661586,0.97088826,0.87606823
0.51086295,0.49336565,0.95172465
0.56390107,0.619752,0.8137642
0.6219509,0.55819404,0.47512132
0.6518779,0.5622759,0.54875755
0.78664875,0.67681026,0.567181
0.8984413,0.5316042,0.5429927
0.535386,0.5410017,0.97440773
0.6072798,0.6153344,0.96280307
0.95014,0.6901183,0.6658623
0.83899474,0.71296763,0.6388718
0.8001274,0.5596285,0.5693342
0.6867913,0.98902214,0.68837696
0.9485798,0.8139576,0.8660814
0.8424645,0.7385808,0.7048651
0.9981766,0.56072587,0.553084
0.64106995,0.6274688,0.9198631
0.6285985,0.7977863,0.62491643
0.9009973,0.5499019,0.5567223
