sim_00_03,sim_00_07,sim_03_07
0.96830106,0.99515045,0.9650429
0.96487814,0.8924146,0.853929
0.9876645,0.6694918,0.65301394
0.9863038,0.6793017,0.6740244
0.5408858,0.9058702,0.548847
0.45429114,0.85265803,0.51973724
0.6471308,0.5890276,0.68714106
0.43459976,0.47727978,0.57182777
0.5168023,0.69184613,0.5194273
0.60577834,0.55329233,0.68982476
1.0000001,1.0000001,1.0000001
0.4891473,0.55684566,0.66612226
0.53555197,0.94543725,0.55349606
0.4752728,0.96309346,0.47304773
0.6530883,0.9960857,0.64913315
0.6136121,0.9797104,0.6416059
0.6283345,0.65963936,0.9611008
0.42927197,0.5377096,0.6400343
0.7256759,0.5903173,0.5886678
0.9965256,0.9535178,0.95007336
0.99999994,1.0,1.0
0.9990198,0.99558526,0.9950934
0.85114205,0.89416516,0.90975386
0.7816038,0.6934223,0.5864899
0.8222017,0.68436927,0.66833895
0.61844313,0.83417654,0.60639334
0.57409894,0.66160566,0.5855042
0.61488384,0.9862333,0.5965507
0.6870474,0.6690355,0.66178906
0.56089395,0.6079284,0.68306065
1.0,0.9722793,0.9722793
0.74455476,0.76502836,0.91340446
0.5616457,0.8254661,0.58537656
0.47446477,0.8951305,0.5434299
0.63593894,0.70897293,0.5534832
0.647647,0.7095458,0.5946814
0.61827064,0.6454523,0.6676139
0.63743216,0.5167597,0.670469
0.516155,0.49857163,0.6634714
0.65228534,0.5309505,0.6018142
0.948962,1.0000002,0.948962
1.0000001,0.9804129,0.9804129
0.9908457,0.9161757,0.9138226
1.0,0.54458946,0.54458946
0.9439427,0.6578541,0.6799993
1.0000001,0.50865954,0.50865954
0.9911107,0.7487732,0.73953974
1.0,0.53057164,0.53057164
0.95409197,0.67236876,0.69210285
0.92678535,0.5496956,0.54481363
0.99087566,0.99087566,1.0
1.0000001,0.7170326,0.7170326
1.0000001,0.8080956,0.8080956
0.4974896,0.8286414,0.5186743
0.49349675,0.5435552,0.4319417
0.7211268,0.63424134,0.7330943
0.56160456,0.49494463,0.48077863
0.51368695,0.7015459,0.48798302
0.52322084,0.506085,0.48592922
0.7685971,0.49872687,0.46157283
0.99710923,0.99710923,0.99999994
0.93863106,0.93524253,0.9965564
1.0000002,0.937476,0.937476
0.743147,0.7061979,0.75582194
0.9402874,0.6991622,0.70552975
0.77988124,0.5911729,0.6969732
0.5967405,0.59041476,0.6693382
0.8868209,0.58377993,0.61183685
0.52553844,0.9141114,0.52403545
0.47637624,0.4808287,0.8778219
1.0000004,0.99894667,0.99894667
0.78336793,0.99934185,0.78635806
0.80759376,0.7909664,0.79932445
0.7655351,0.78210306,0.68579596
0.9992014,0.7735209,0.77173245
0.984219,0.7135481,0.7448863
0.59278214,0.72570574,0.7727784
0.72722954,0.718601,0.9910918
0.87406313,0.81319094,0.8280456
0.9204166,0.9165276,0.8428135
0.99999994,0.99999994,0.99999994
0.85534763,0.7772562,0.8998374
0.78856593,0.8129512,0.96850955
0.70869696,0.7735175,0.68526876
0.744438,0.6400703,0.6389477
0.7894207,0.7073158,0.7264467
0.74770904,0.74770904,1.0000001
0.72556126,0.7807209,0.73467594
0.77450854,0.79621947,0.7334843
0.7097117,0.8046988,0.6348968
0.9999998,0.9999998,0.9999998
0.8182372,0.99027014,0.8036752
0.7534369,0.9935559,0.7411696
0.9132005,0.79674816,0.7286503
1.0000001,0.70003,0.70003
0.6665206,0.66399056,0.9847655
1.0000001,0.7879179,0.7879179
0.7220372,0.6974324,0.7771802
0.74179757,0.85629696,0.70248103
0.78374606,0.6973579,0.90946484
1.0,1.0,1.0
0.76281524,0.99400854,0.7613256
0.7604889,0.7140626,0.8745068
0.6985646,0.792524,0.8519687
0.8959787,0.55476457,0.52344006
0.58151585,0.5295559,0.58243674
0.5324447,0.53557444,0.4710366
0.59747356,0.5473408,0.52814645
0.94096196,0.96771425,0.9277486
0.5724258,0.5545663,0.944616
0.70459855,0.8067398,0.8617632
0.7722778,0.8097926,0.98164666
0.7288256,0.6647117,0.7522486
0.7039833,0.94723314,0.739077
0.5674492,0.6032198,0.5356775
0.6091254,0.5803271,0.4946952
0.70091546,0.4944988,0.44765928
0.5788012,0.70330703,0.5274383
0.53772146,0.55582017,0.5427364
0.7667268,0.5539294,0.58774906
0.99892163,0.9705778,0.9701668
0.9016931,0.9016931,1.0
0.93428355,0.592765,0.63642126
0.66288936,0.7835229,0.7882658
0.63742495,0.72359884,0.6467298
0.7926664,0.9178429,0.79851276
0.57037216,0.73932534,0.5805093
0.82085,0.8051654,0.7427798
0.6364434,0.45565027,0.5252682
0.7680384,0.7682944,0.96225244
0.9989587,0.9999999,0.9989587
0.99164134,1.0,0.99164134
0.8649453,0.79770654,0.9163311
0.99813515,0.77161163,0.76842153
1.0000001,0.7052151,0.7052151
0.8391492,0.7114497,0.7437391
0.99560136,0.68091816,0.681726
0.92321,0.745522,0.6727052
0.8010391,0.799543,0.86529064
0.6903569,0.5886399,0.5345202
0.98054355,0.74661934,0.7494766
0.9805547,0.74812394,0.76161337
0.86979395,0.8850801,0.96220875
0.7377731,0.70565754,0.8178921
0.96644026,0.9671772,0.9060936
0.78018254,0.704514,0.84577405
0.89093643,0.68085027,0.57977545
0.7889811,0.55017865,0.6548193
0.68326294,0.77059007,0.67507696
0.5942589,0.8265074,0.5911654
0.9487158,0.9382128,0.9868125
0.9409272,0.92671967,0.9725665
0.94404256,0.9477167,0.9876179
0.9800261,0.89501137,0.8909856
0.8014502,0.98037994,0.8127934
0.77199376,0.9518314,0.7968331
0.9909205,0.9809056,0.99152917
0.821852,0.9654105,0.8592559
0.70035326,0.8322623,0.72890085
0.7944411,0.83580524,0.79756325
0.8408108,0.9986097,0.840698
0.9715132,0.99999994,0.9715132
0.8609759,0.75390965,0.77134085
0.93575895,0.6892904,0.71670586
0.7331718,0.4687263,0.53598225
0.765394,0.68481094,0.6609611
0.98438346,0.69103855,0.6872754
0.9088993,0.55070657,0.55863744
0.62090945,0.57156837,0.5814597
0.4723391,0.49845085,0.4509887
1.0000002,0.90738636,0.90738636
1.0,0.87992895,0.87992895
0.7190379,0.71706456,0.99531955
0.7191577,0.71941566,0.9976356
0.8651494,0.8213742,0.75664145
0.9349328,0.73291683,0.71095794
0.39200407,0.6426307,0.39285195
0.5161467,0.9298344,0.42625937
0.95423204,0.92384493,0.89046615
0.5497985,0.5031472,0.51629126
1.0,0.9991635,0.9991635
0.9961814,0.99646276,0.9988867
1.0,1.0,1.0
0.99141705,0.8380159,0.84276295
0.83993065,0.7329328,0.7950386
0.82979476,0.82256615,0.8344355
0.7624885,0.7609289,0.62262666
0.81877047,0.6399092,0.66434866
0.78450567,0.7867661,0.99858934
0.652393,0.6709851,0.8480818
0.995029,0.98237944,0.97820866
0.99452966,0.9815389,0.9818739
0.99437404,0.9869911,0.9841289
0.99999994,0.9330679,0.9330679
0.9992403,0.9696779,0.96959716
0.99924105,0.97271246,0.97247326
0.9999999,0.9999999,0.9999999
1.0000002,1.0000002,1.0000002
0.705732,0.701015,0.9736194
0.5106837,0.52239347,0.60475683
1.0000001,1.0000001,1.0000001
0.96048,0.77634406,0.7638767
0.8307375,0.9866372,0.8390787
0.8999629,0.48110002,0.46350434
0.6881136,0.61157423,0.83760476
0.74019575,0.9974464,0.7418186
0.5017022,0.5473686,0.5732171
0.7581352,0.45987728,0.53714645
0.5825713,0.5415182,0.6972419
0.75519466,0.65982556,0.6351495
1.0000002,1.0000002,1.0000002
0.9965929,0.9977449,0.9978239
1.0000001,1.0000001,1.0000001
0.9825587,0.98320585,0.9976929
0.9932606,0.99974775,0.99268407
0.6716951,0.6152444,0.8144408
0.68222636,0.8334547,0.70421666
0.9955751,0.6308653,0.6082778
0.83567005,0.76359487,0.75227743
0.9954696,0.5632026,0.5622186
0.9928914,1.0000001,0.9928914
0.96295273,0.9097867,0.93659025
0.9953489,0.9990493,0.99411494
0.6656531,0.4922363,0.46750352
0.9765456,0.75907534,0.7521579
0.97711277,0.96835136,0.9891589
0.9973463,0.49598366,0.49063653
0.48960227,0.48214456,0.9942781
0.49712858,0.4808593,0.7847126
0.49229035,0.94573784,0.48439774
1.0,0.9365299,0.9365299
0.8872979,0.86956024,0.7933454
0.9503482,1.0000001,0.9503482
0.99613214,0.5746127,0.5779421
0.9707595,0.62010956,0.6205459
1.0000001,0.8497581,0.8497581
0.88543564,0.92578155,0.9472673
0.48962563,0.7500983,0.5613776
0.53449965,0.58416796,0.69637215
0.7147475,0.5376735,0.5819231
0.975518,0.972335,0.9973412
0.6706907,0.65361035,0.87335294
0.6731,0.6679127,0.99724483
0.7168293,0.6716763,0.95265996
0.8294638,0.72910464,0.7736389
0.8434996,0.6359332,0.68302566
0.6590465,0.64083713,0.71951103
0.6240245,0.64242756,0.872574
0.84054923,0.52065134,0.50999105
0.972139,0.4975407,0.49415404
0.99607867,0.9301007,0.9294444
0.9919287,0.98442274,0.982375
0.99999994,0.91178626,0.91178626
0.977643,0.64849347,0.6493631
0.899387,0.6856308,0.6899326
0.9998124,0.72392327,0.7245405
0.84251237,0.7177023,0.7886102
0.7908119,0.6961494,0.6772129
0.87055445,0.5478139,0.54420346
0.9058399,0.50374544,0.47642094
0.81584924,0.815132,0.99786556
0.6941531,0.7026442,0.9939725
0.59725845,0.78549397,0.55184853
0.9528305,0.5096566,0.57388663
0.5289955,0.5698368,0.5896027
0.8571607,0.5471835,0.4962976
0.6532648,0.53848886,0.4795643
0.5365885,0.5344216,0.582145
0.657157,0.52137583,0.5791473
0.5205906,0.6029905,0.5449307
0.99397594,0.8826857,0.8907567
0.9623076,0.9293977,0.9131922
0.8167351,0.71040154,0.60103583
0.81994206,0.7825042,0.7339258
0.9751354,0.4423314,0.44050902
0.64938515,0.6319132,0.6021512
0.63675064,0.6825019,0.5763525
0.9706267,0.60433984,0.60018504
0.6526773,0.4714072,0.60701704
0.6005124,0.72777474,0.58148366
0.97965646,1.0000001,0.97965646
1.0,1.0,1.0
0.9800768,0.74460155,0.7558134
0.98060095,0.604247,0.586814
0.97207254,0.7471728,0.7300344
0.76823086,0.7623462,0.9693289
0.5171733,0.4763417,0.5859984
0.7090573,0.7902495,0.72776335
0.5496238,0.5922427,0.6606036
0.60565203,0.6365608,0.74835795
0.9988011,0.9988011,1.0
0.7695219,0.8603835,0.9024919
0.74449027,0.75938046,0.924073
0.99999994,0.640834,0.640834
0.79167765,0.6044422,0.6195604
0.75919896,0.67849433,0.93126184
0.57011616,0.68467456,0.8722086
0.6029506,0.59134823,0.9153403
0.80952024,0.7196076,0.8174242
0.7736626,0.95322466,0.785765
0.80082935,0.7966922,0.9943965
0.7868727,0.80608255,0.9214198
0.5752889,0.9207104,0.54767936
0.9731817,0.55964726,0.56008834
0.69750226,0.9530995,0.68582976
0.6431583,0.6810199,0.96531457
