sim_00_03,sim_00_07,sim_03_07
0.9999998,0.9719133,0.9719133
0.8428709,0.9905823,0.853251
0.58893335,0.8024633,0.699044
0.99999994,0.9063816,0.9063816
0.99999994,0.96946025,0.96946025
0.9893811,0.9894638,0.9998302
0.9838743,0.44734913,0.4562772
0.8209987,0.7115096,0.8056208
0.6867476,0.98189104,0.6884354
0.54980665,0.5506824,0.6954127
0.4462565,0.89908487,0.58258563
0.9698416,0.83001685,0.84303254
0.9631148,0.58052087,0.5970805
0.5328715,0.48436588,0.5685691
0.6852064,0.769071,0.4614564
0.5044263,0.4671859,0.4730605
0.5838375,0.5667152,0.5608525
0.8969641,0.3916805,0.44621304
0.57207257,0.4465674,0.42188314
0.5317636,0.88074064,0.5175254
0.96443987,0.7694237,0.7690796
0.9484967,0.75468946,0.8036427
1.0000001,0.7927947,0.7927947
0.92381895,0.6191451,0.61976993
1.0,0.5978944,0.5978944
0.98760337,0.76745015,0.76997536
0.65187657,0.82725203,0.6311735
0.8176605,0.7449406,0.62123704
0.65803134,0.778596,0.6438329
0.57342404,0.5746983,0.643963
0.8605552,0.91683775,0.8160918
0.8956019,0.90929496,0.8373883
0.93449974,0.74888515,0.7444976
0.607823,0.6710411,0.6455841
0.7244969,0.71773654,0.9689802
0.6115402,0.5467219,0.6867353
0.5359937,0.64410836,0.52620167
0.9870889,0.51582646,0.50163054
0.55972594,0.5910738,0.6904483
0.5089841,0.6230667,0.4857586
1.0000001,1.0000001,1.0000001
1.0000001,0.8806779,0.8806779
0.9649249,0.9057782,0.9359552
0.69497573,0.56228113,0.73798674
0.936243,0.7078574,0.67893696
0.5821459,0.68440604,0.65045995
0.9208591,0.46186006,0.4345537
0.5989981,0.52804077,0.48921967
0.4727561,0.4852659,0.9057865
0.4930038,0.58255494,0.6919451
1.0000001,0.99608153,0.99608153
0.9536094,0.98405045,0.95287675
0.9807309,0.9338975,0.9508623
0.6415021,0.68500555,0.8452237
0.7304027,0.46576297,0.5607771
0.6442279,0.50218195,0.5095908
0.97179216,0.6713736,0.66504747
0.6004337,0.64778787,0.7448789
0.676265,0.6595558,0.960852
0.6448895,0.6001912,0.48547778
1.0000001,0.99605775,0.99605775
0.6965784,0.6948363,0.9871472
0.52878815,0.52209455,0.996707
0.6200801,0.6724478,0.5247392
0.58617544,0.9354059,0.62387234
0.55467325,0.7521178,0.66359174
0.5270944,0.5111003,0.9727638
0.8554097,0.8542369,0.8111513
0.5117773,0.64028114,0.5949956
0.4795273,0.56016743,0.45192668
0.9566852,0.9777014,0.95456946
0.97118485,0.99804974,0.96983224
0.97451514,0.98160017,0.9793211
1.0000001,0.99567395,0.99567395
0.7984875,0.73367476,0.6369652
0.5591438,0.36970428,0.5534053
0.62603325,0.5578974,0.5723371
0.48277625,0.5258605,0.5486922
0.55317396,0.41112667,0.5662219
0.97464037,0.97421205,0.9990479
1.0000001,0.9738233,0.9738233
0.6600687,0.6470519,0.9961041
0.65528494,0.7019999,0.67293537
0.67974937,0.9414993,0.65698487
0.6565777,0.6790526,0.71575785
0.67221016,0.6734972,0.6988681
0.6950638,0.69946414,0.9740666
0.5778259,0.72122616,0.6289495
0.5923543,0.626985,0.75756174
0.7623472,0.7050739,0.696744
0.91188526,0.99592793,0.9088861
0.6520176,0.63606477,0.92775196
0.6741073,0.66040486,0.84453875
0.90229946,0.6478785,0.63636243
0.6292775,0.7109919,0.8100269
0.6190554,0.67273027,0.7385473
0.7132155,0.9174754,0.7094637
0.60492575,0.55703765,0.593694
0.9994548,0.6296749,0.63365483
0.79022354,0.785319,0.7253084
0.91930753,0.9150412,0.91825277
0.6156853,0.69642794,0.5635167
0.8178603,0.8285374,0.95096827
0.77813923,0.5971402,0.66951203
0.71630394,0.6235411,0.74183315
0.39590323,0.62921613,0.453798
0.44893745,0.4448418,0.6025562
0.42147076,0.53138506,0.47904947
0.6421622,0.6268948,0.59675324
0.95528996,0.5237481,0.52234906
0.91302204,0.86147285,0.89818317
0.7634666,0.5556883,0.80519736
0.77517676,0.76659113,0.7801317
0.67615,0.8016043,0.77876997
0.7107471,0.67304355,0.93761367
0.5792473,0.5518252,0.9631993
0.5883093,0.53720737,0.9596548
0.7447866,0.67467934,0.614894
0.72200644,0.53373665,0.57347304
0.8237352,0.62383485,0.5750155
0.97345173,1.0000001,0.9734515
1.0000002,0.93945926,0.93945926
0.69644654,0.9868696,0.71317863
0.6597084,0.64547724,0.9890287
0.65863526,0.87671775,0.70554197
0.5069599,0.54807174,0.7034622
0.6756715,0.617137,0.75781626
0.3543437,0.38443297,0.6538738
0.43476415,0.5244906,0.62646693
0.5814144,0.49122465,0.54264194
0.99999994,0.9958342,0.9958342
0.80467033,0.8520677,0.9541166
1.0,1.0,1.0
0.7484435,0.851531,0.7983058
0.6819598,0.69636536,0.73278
0.64865345,0.64865345,1.0000001
0.5905565,0.71386755,0.6379973
0.5522507,0.7326633,0.57383054
0.6112559,0.53734505,0.61044496
0.6008674,0.598347,0.92295176
0.98198724,0.98198724,1.0000001
0.9786524,0.6322244,0.60810024
0.91034603,0.647421,0.69561154
0.79228634,0.7773662,0.73145777
0.6920383,0.72537875,0.73106456
0.74399143,0.74651587,0.74060947
0.64140403,0.6166959,0.74635947
0.7483802,0.6818504,0.6921215
0.91379774,0.75437474,0.71099997
0.6822914,0.72578424,0.7078078
0.9807512,0.9807512,1.0000001
1.0000002,0.8540542,0.8540542
1.0,1.0,1.0
0.9651247,0.64499193,0.6437318
0.5671865,0.5128617,0.836105
0.76955265,0.7533924,0.71384805
0.46477568,0.87683743,0.46025765
1.0000002,0.5470213,0.5470213
0.7482926,0.7315673,0.86037374
0.9860729,0.44702113,0.4565227
0.9914728,0.5238028,0.52522
0.9998484,0.69967335,0.699986
0.5129275,0.5252712,0.7437812
0.5090066,0.7512209,0.48371834
0.9989344,0.6856852,0.6912377
0.7030478,0.77573436,0.6912257
0.48654035,0.50874037,0.6838847
0.7037322,0.9739726,0.7017625
0.75768447,0.53495896,0.5205338
0.50211257,0.9977273,0.49671024
0.99984545,0.9524264,0.9526315
0.99999994,0.8051249,0.8051249
0.62199765,0.5888443,0.6501234
0.5684955,0.58479315,0.93440986
0.7519335,0.9871334,0.7511692
0.694021,0.78827864,0.7150057
0.80381346,0.60355604,0.6496103
0.51836854,0.598905,0.6569668
0.59782225,0.5964436,0.5360306
0.81324303,0.48803082,0.5325008
0.97628117,1.0,0.97628117
0.813395,1.0000001,0.813395
0.6158996,0.9888379,0.633612
0.48322544,0.48333326,0.9332223
0.50520617,0.49532428,0.83174145
0.66403824,0.85804284,0.6682872
0.8521983,1.0000001,0.8521983
0.9637127,0.5673425,0.53538036
0.52190876,0.48177359,0.4406943
0.45571065,0.53030527,0.6363995
0.97575086,1.0000002,0.97575086
0.99944323,0.9967172,0.9967884
0.99968356,0.94935954,0.94937575
1.0,0.635992,0.635992
0.9812451,0.5877809,0.58785313
0.57514286,0.4794317,0.44508618
0.42567247,0.43050545,0.47723714
0.9581011,0.87318546,0.8250997
0.50050014,0.50395876,0.7579442
0.54719716,0.6846329,0.64395094
1.0,0.99909246,0.99909246
