sim_00_03,sim_00_07,sim_03_07
0.9999999,0.9989392,0.9989392
0.9937964,0.9581909,0.95443946
0.99338263,0.9928569,0.9848786
0.9829291,0.9898416,0.9848834
1.0,0.99301594,0.99301594
0.8264974,0.82282996,0.95792794
0.9750206,0.7877362,0.7739636
0.9564408,0.8631283,0.8788715
0.8851715,0.9514481,0.9361992
0.83588046,0.84239346,0.8754599
1.0,0.9986189,0.99861884
0.97990906,0.98576385,0.9695519
0.97698104,0.9947492,0.9681207
0.7594291,0.76509136,0.87778527
0.74787253,0.7423067,0.9923974
0.9717361,0.79986066,0.80889076
0.997614,0.8176587,0.80970895
0.8051566,0.810613,0.8667491
0.8330342,0.7827622,0.805095
0.8251276,0.7893492,0.82771194
0.9985421,1.0,0.9985421
0.98430294,0.89354473,0.886734
0.9999999,0.968599,0.968599
0.9407326,0.90411204,0.9659678
0.9888351,0.8973632,0.893614
0.9975153,0.82790375,0.82235825
0.9363177,0.85017526,0.8136488
0.86664987,0.8143414,0.83568347
0.79858756,0.79825497,0.87184846
0.8149499,0.7682504,0.79165554
0.99999976,0.99999976,0.99999976
0.98347545,0.9993214,0.9830472
0.99999994,0.92709595,0.92709595
0.96375185,0.9909172,0.955659
1.0,0.9653714,0.9653714
0.97903293,0.90122163,0.8764271
0.964608,0.88861144,0.8686615
0.9802872,0.9427258,0.91853464
0.7145249,0.8063091,0.81131065
0.83618224,0.89902246,0.8505107
1.0000001,0.9895301,0.9895301
0.9973881,0.9749108,0.9726695
1.0,0.84247255,0.8424725
1.0000002,0.88560176,0.88560176
0.9219319,0.87455934,0.85801697
0.9202269,0.91997075,0.99841017
0.78450644,0.7738973,0.9686033
0.87098,0.84419346,0.8506326
0.9102187,0.8081175,0.7602565
1.0000002,0.87885344,0.87885344
0.99999994,0.99999994,0.99999994
0.9993179,0.9965352,0.9972625
0.9965123,0.958982,0.963346
0.99719834,0.85471994,0.85311866
0.99854624,0.86600745,0.86744606
1.0,0.8869509,0.8869509
0.99399424,0.88478714,0.8908889
0.9981389,0.9380667,0.94018173
0.9925682,0.85819817,0.8583281
0.9841425,0.87026155,0.86519635
0.99999994,0.99999994,0.99999994
0.99031234,0.99727654,0.9882419
0.91099536,0.9962151,0.91793567
0.87034607,0.99106276,0.86243504
0.8502144,0.9951469,0.8490926
0.89526933,0.97718406,0.8978933
0.8775612,0.76006234,0.8192303
0.81815106,0.81048644,0.99345684
0.82895064,0.822665,0.98199147
0.7812069,0.7818278,0.76132107
0.8925835,0.9500348,0.9046129
0.99929494,0.99929494,1.0000001
0.93582964,0.96064425,0.94584423
0.9904405,0.8589145,0.8677614
0.82729477,0.86223775,0.7952101
0.8220163,0.82918596,0.81172556
0.8167405,0.84818435,0.94794035
0.82444715,0.84544885,0.8538724
0.8154149,0.81528294,0.98133963
0.7654084,0.82893014,0.7987697
0.95167696,1.0000002,0.95167696
1.0000001,0.98725986,0.98725986
0.9611822,0.96708363,0.941394
0.98787653,0.982938,0.99556875
0.83617574,0.8586647,0.80023813
0.78784066,0.9735915,0.82539153
0.82143843,0.93577576,0.83542573
0.892585,0.85716176,0.8430052
0.7936489,0.8327445,0.8308499
0.9577577,0.86970437,0.86016154
0.9460686,0.9516983,0.9543405
0.7753734,0.79895866,0.96790826
0.89550626,0.85472894,0.9336646
0.8293819,0.8607565,0.851243
0.774671,0.77588856,0.83795244
0.75559175,0.79871255,0.84653664
0.78514206,0.7838038,0.76681054
0.75111055,0.89781106,0.83297193
0.7748519,0.7943808,0.7901811
0.75814635,0.8205457,0.81349146
0.99735785,0.9847633,0.9838589
0.93612885,1.0,0.93612885
0.8776895,0.79950166,0.805436
0.86857414,0.8087449,0.8091314
0.78563523,0.81899625,0.8043352
0.8737731,0.81362724,0.7956232
0.7999452,0.81682277,0.83238935
0.8627335,0.7999326,0.8622142
0.8907006,0.74881506,0.772218
0.8069689,0.9716065,0.82663155
1.0,0.9492476,0.9492476
1.0000002,0.9972118,0.9972118
0.9771385,0.98339903,0.9673845
1.0,0.9425464,0.9425464
0.9035078,0.8680027,0.9229034
0.90231293,0.8998126,0.9830433
1.0000001,0.9975519,0.9975519
0.8337226,0.9138648,0.8785254
0.9077919,0.8980737,0.88371116
0.9247577,0.9235296,0.99677855
0.98872936,0.98872936,1.0000002
0.9861671,0.99718225,0.9848786
0.84308255,0.9262777,0.89334124
0.9888355,0.98673534,0.99641484
0.9108544,0.9981774,0.9096387
