sim_00_03,sim_00_07,sim_03_07
0.9851993,0.99736327,0.9831181
0.9746697,0.9421149,0.91970533
0.99179256,0.8265185,0.81779593
0.99408376,0.81710196,0.8209308
0.783106,0.9527686,0.7908701
0.76221454,0.94044983,0.79393643
0.84030527,0.80512905,0.86390406
0.7210385,0.7306851,0.77805865
0.7773859,0.8621675,0.79620266
0.80087477,0.7914763,0.84104925
0.99999994,0.99999994,0.99999994
0.80189055,0.84284925,0.85818243
0.81199014,0.97561836,0.8115628
0.77480745,0.96251154,0.748703
0.8424591,0.9986632,0.8422699
0.81411207,0.9834546,0.8307352
0.84908026,0.8533939,0.98605514
0.7484485,0.82627094,0.82917565
0.86530143,0.8282159,0.80021405
0.99706393,0.96737206,0.96464556
1.0000001,1.0000001,1.0000001
0.9995088,0.9984583,0.99786437
0.94419616,0.9565325,0.9518804
0.89505684,0.8746266,0.82543534
0.93920285,0.8804719,0.86424077
0.8594329,0.9198785,0.86582977
0.80214906,0.8407786,0.83118695
0.83507425,0.9954466,0.8328746
0.87089634,0.87820244,0.84247726
0.8634132,0.824904,0.87636733
0.9999999,0.9860524,0.9860524
0.90122133,0.9169704,0.95142764
0.8151529,0.93798965,0.80481774
0.78967327,0.9418268,0.812032
0.8576454,0.88991374,0.842739
0.84803534,0.88446486,0.84094703
0.8504746,0.8601391,0.8451009
0.83970445,0.7905457,0.855723
0.7737752,0.7547026,0.83572567
0.8362574,0.7701553,0.84862113
0.97616714,1.0,0.97616714
0.99999994,0.99318266,0.99318266
0.9963436,0.9605268,0.95911145
1.0000001,0.80603004,0.80603004
0.98660934,0.8518577,0.8568335
1.0000002,0.7714147,0.7714147
0.997109,0.87583923,0.8689605
1.0000001,0.77661,0.77661
0.9857858,0.87773156,0.8649985
0.96605945,0.79021406,0.7770097
0.9974604,0.9974604,0.9999998
1.0000002,0.8738501,0.8738501
1.0000001,0.9271022,0.9271022
0.78519094,0.9282316,0.79847723
0.76301575,0.8000408,0.71032995
0.87239796,0.82903934,0.90952
0.8034591,0.77374625,0.7532234
0.7476448,0.8567029,0.7471685
0.7531141,0.7571362,0.74277395
0.873993,0.7574018,0.7490325
0.9984059,0.9984059,0.99999994
0.9743372,0.97080237,0.99708945
1.0,0.9738938,0.9738938
0.8517272,0.8757673,0.8720052
0.94130135,0.8654403,0.86234367
0.90439767,0.81769085,0.8223229
0.810266,0.7984203,0.8389857
0.94158953,0.8283397,0.8051766
0.7949171,0.9717137,0.79262984
0.75131226,0.7595023,0.94165885
1.0000002,0.99862427,0.99862427
0.91981125,0.999207,0.9204771
0.9110479,0.91115034,0.9227389
0.8984847,0.9200805,0.87035674
0.99926573,0.89873165,0.8967997
