sim_00_03,sim_00_07,sim_03_07
0.9999999,0.98293656,0.98293656
0.92011666,0.9942138,0.91639423
0.83431137,0.92067695,0.8623472
1.0000001,0.9636699,0.9636699
1.0,0.9729338,0.9729338
0.9964675,0.9964788,0.9998422
0.9929212,0.77283746,0.77477384
0.91193616,0.88085747,0.8991398
0.85313505,0.9885491,0.84317064
0.7967585,0.7992534,0.85176486
0.75176734,0.94136417,0.8195853
0.98957044,0.94003916,0.9358862
0.984354,0.8214658,0.8146337
0.77454793,0.7752679,0.80338633
0.8597498,0.88196135,0.7713229
0.7277295,0.7223541,0.74314564
0.79256314,0.7770401,0.777045
0.9512994,0.69024986,0.7009371
0.8145969,0.729812,0.75241864
0.7716352,0.9523775,0.7634441
0.9870123,0.87621236,0.874769
0.9810934,0.89263785,0.9115738
1.0000001,0.8848888,0.8848888
0.96222985,0.81094897,0.8216475
1.0000002,0.8169227,0.8169227
0.99546564,0.8787094,0.88300884
0.84268266,0.9294027,0.8358983
0.9069921,0.8650644,0.83981746
0.87218857,0.87800574,0.84279287
0.7988305,0.7792983,0.838781
0.91461444,0.9543852,0.9113691
0.9593377,0.964533,0.93888587
0.9738156,0.8713122,0.87597513
0.8583945,0.8764502,0.8415205
0.8578264,0.8578596,0.98994523
0.8348304,0.82285607,0.8769915
0.807254,0.8323476,0.80178005
0.99701506,0.80278105,0.80380994
0.80484855,0.7938658,0.86050636
0.79865104,0.84761643,0.7753636
0.9999999,0.9999999,0.9999999
1.0000001,0.9482954,0.9482954
0.98116845,0.9479765,0.96414995
0.8451746,0.8115564,0.8988726
0.9705758,0.87304866,0.86158305
0.8313014,0.84130484,0.8314818
0.96907187,0.74107367,0.73040646
0.78096074,0.7713851,0.751067
0.74583685,0.7575912,0.9401745
0.7863403,0.78801686,0.8848891
1.0000001,0.9985529,0.9985529
0.97918487,0.99136204,0.9777151
0.9897361,0.9686923,0.97566766
0.8432187,0.8738569,0.9171806
0.87726927,0.769995,0.8258874
0.85423416,0.7904523,0.7914735
0.98044693,0.86891377,0.86413634
0.83329535,0.8497597,0.9046027
0.8261291,0.82284075,0.9726306
0.85815316,0.8219344,0.76327574
1.0000001,0.99615556,0.99615556
0.8724164,0.8741693,0.99113065
0.8151707,0.8141841,0.99879104
0.81545883,0.8561507,0.805154
0.83385915,0.9630509,0.86179453
0.7747498,0.8585976,0.8403547
0.81890106,0.80656725,0.9822624
0.92823374,0.9367585,0.9245925
0.77733463,0.82219464,0.81404376
0.74602693,0.79178154,0.76277775
0.978635,0.98738885,0.9810957
0.98960084,0.9984199,0.9854883
0.98662055,0.9925658,0.99064255
1.0000001,0.99679816,0.99679816
0.9207002,0.8716462,0.830584
0.8074803,0.7172882,0.81341887
0.8342085,0.8171113,0.817934
0.76716226,0.8031101,0.77591515
0.8334433,0.7660068,0.8060424
0.988186,0.98816836,0.9997225
1.0000001,0.9943961,0.9943961
0.8710466,0.8685501,0.99836403
0.8675687,0.8802781,0.8568344
0.8644864,0.97013503,0.85412604
0.85108024,0.8453857,0.8718712
0.85203063,0.87281066,0.871668
0.8648243,0.8639531,0.9898151
0.84073776,0.9051233,0.8471447
0.82368803,0.843403,0.8938217
0.89970785,0.88136864,0.8731953
0.95520574,0.9935052,0.9573877
0.86127377,0.8564352,0.9429831
0.8640334,0.8521782,0.9284562
0.948576,0.85520715,0.8438159
0.83843327,0.85080916,0.9243225
0.8489478,0.8723617,0.8796271
0.8895859,0.9575441,0.8927845
0.84567714,0.8114126,0.82522535
0.99937356,0.8441323,0.8475237
0.89281136,0.89955837,0.8687304
0.93401825,0.9404192,0.966468
0.84591806,0.8579859,0.8319557
0.9235743,0.93020165,0.9847552
0.8884991,0.82705736,0.85983235
0.8745795,0.8487315,0.9001429
0.70520407,0.8447481,0.72689664
0.7433168,0.7389393,0.8194651
0.7264096,0.7801214,0.7488985
0.8338377,0.86258954,0.849152
0.97270304,0.80398005,0.7958681
0.9640537,0.9541518,0.9718756
0.88072824,0.7634308,0.8997569
0.8995065,0.87543005,0.8902277
0.84419775,0.8957142,0.8998777
0.860481,0.8281895,0.95142263
0.774284,0.7730964,0.9835053
0.79862934,0.78054374,0.9653825
0.8687181,0.84249,0.81030566
0.8749328,0.77539986,0.7861157
0.9049342,0.8103155,0.8041724
0.98930013,1.0000001,0.98930013
1.0,0.95934033,0.95934033
0.8674973,0.99312145,0.87706834
0.8544644,0.85071397,0.9889833
0.8441134,0.91991204,0.85041314
0.7870889,0.7922327,0.8723497
0.8386439,0.8256739,0.89690304
0.74538916,0.7260927,0.8444527
0.71737397,0.75240445,0.82485604
0.7879935,0.7445667,0.7944767
1.0000002,0.998402,0.998402
0.9071711,0.9259406,0.9727205
1.0000002,1.0000002,1.0000002
0.89195895,0.94605386,0.91953546
0.84615767,0.86054057,0.86568785
0.83,0.83,1.0
0.8304816,0.8600779,0.84195954
0.8117783,0.88523847,0.8177575
0.8663971,0.81461555,0.81218076
0.85550237,0.8432629,0.9488119
0.9928575,0.9928575,1.0
0.9920581,0.87532145,0.8632135
0.9688397,0.878345,0.88574
0.9095041,0.9066191,0.9030049
0.8909192,0.8795892,0.89006597
0.8925825,0.8875356,0.90076804
0.8283385,0.8575652,0.86392945
0.8897333,0.85668194,0.86511433
0.9666168,0.90200406,0.8842584
0.87385726,0.8767729,0.8681507
0.98868746,0.98868746,1.0
1.0000004,0.9144038,0.9144038
1.0000001,1.0000001,1.0000001
0.9838899,0.86465096,0.86811507
0.79910946,0.78494155,0.92325115
0.9078013,0.87952375,0.8788941
0.75236326,0.95092314,0.75443155
1.0,0.79672813,0.79672813
0.8848715,0.87177664,0.9333513
0.9909291,0.75914335,0.765631
0.9962095,0.78058946,0.78265435
0.9998786,0.84392166,0.8443519
0.7730702,0.7805654,0.9040492
0.7829685,0.87408644,0.76633734
0.9990585,0.8797861,0.87958276
0.86107695,0.8645796,0.8308298
0.7605654,0.7706411,0.87954605
0.86418605,0.9873417,0.87443376
0.9168196,0.7673014,0.7691484
0.75972474,0.9989956,0.7559999
0.9998633,0.9798015,0.97925913
0.9999999,0.9021095,0.9021095
0.8329588,0.8183472,0.8402243
0.80118537,0.8187629,0.96152
0.8984375,0.98988307,0.89854425
0.8653981,0.9024799,0.8492528
0.8910868,0.8056881,0.8252557
0.74346143,0.79613054,0.86535925
0.8346573,0.80230284,0.7789918
0.8984979,0.7520246,0.7870061
0.9878017,1.0000004,0.9878017
0.93517077,1.0,0.93517077
0.8410787,0.99173737,0.8505948
0.7553768,0.7652052,0.9732015
0.7827219,0.75555456,0.93308675
0.8620573,0.9307993,0.8683124
0.9323436,1.0,0.9323436
0.9663889,0.78534406,0.780253
0.767379,0.7345363,0.74769825
0.74038875,0.788139,0.8370068
0.98700887,0.9999999,0.98700887
0.99898356,0.99756247,0.99702674
0.9976955,0.9655584,0.96526194
1.0000001,0.83318245,0.83318245
0.9815922,0.8134287,0.81335825
0.79108346,0.7645463,0.7722665
0.7607909,0.746966,0.76337844
0.9849701,0.95320386,0.934124
0.7536169,0.74900043,0.88109475
0.7845573,0.8196678,0.82673025
0.9999999,0.99815834,0.99815834
0.99044144,0.92150706,0.91957366
0.8434978,0.9836394,0.84017724
0.8283783,0.895294,0.8257832
0.7734447,0.7774877,0.9938112
0.851445,0.73877287,0.78462946
0.72201794,0.72416264,0.97876954
0.79520607,0.8122007,0.79762816
0.8258957,0.776059,0.7843152
0.85413796,0.8752632,0.8589754
1.0,1.0,1.0
1.0,0.896827,0.896827
1.0,0.82268125,0.82268125
0.99595445,0.93391806,0.93425286
0.9398166,0.9439636,0.92020816
0.9791278,0.8268358,0.8001244
