sim_00_03,sim_00_07,sim_03_07
1.0,0.9986536,0.9986536
0.98656976,0.91190606,0.90447295
0.9695045,0.9565755,0.91547155
0.9018638,0.93215185,0.95196754
1.0000002,0.99107397,0.99107397
0.5930417,0.55223787,0.8491758
0.82124126,0.48580003,0.46436825
0.9233301,0.78250545,0.7355364
0.6283501,0.8569398,0.772468
0.6353955,0.6404788,0.7069862
0.9999999,0.9977068,0.9977068
0.96479976,0.9513124,0.9315251
0.977119,0.8815986,0.872419
0.40379024,0.35072914,0.7193724
0.34736192,0.32384366,0.9796361
0.8919412,0.5445755,0.56354606
0.9974719,0.49335927,0.48650324
0.48783013,0.51123023,0.7137375
0.5431198,0.47893468,0.4691261
0.5840648,0.3620255,0.39892873
0.9987372,0.9999999,0.9987372
0.96488535,0.5928389,0.56091857
0.9999999,0.88952214,0.88952214
0.73786974,0.69581604,0.94047505
0.90345037,0.5582305,0.6536002
0.9890387,0.5237039,0.5146604
0.9222102,0.5455707,0.5022237
0.52244824,0.36922053,0.57266176
0.4502114,0.36781052,0.6010283
0.3406037,0.3401559,0.42900112
1.0000002,1.0000002,1.0000002
0.9697448,0.99550855,0.9597323
1.0000001,0.83553106,0.83553106
0.90057886,0.9526255,0.8722245
0.99999994,0.92992795,0.92992795
0.94041204,0.697322,0.62097126
0.93800247,0.65523154,0.5934
0.9644333,0.7403444,0.7140179
0.14479548,0.45670995,0.48454905
0.46772808,0.74261445,0.4512502
1.0000001,0.9863593,0.9863593
0.9905981,0.947521,0.93906665
1.0000001,0.582414,0.582414
0.9999999,0.70990026,0.70990026
0.80789375,0.57380396,0.5852297
0.79698306,0.79392284,0.99241346
0.2827595,0.26511502,0.9416547
0.5007688,0.32464847,0.42884052
0.6724971,0.4783204,0.30827242
1.0000001,0.5905326,0.5905326
0.9999999,0.9999999,0.9999999
0.9989599,0.99441844,0.99500453
0.99076694,0.8797178,0.88736093
0.99037814,0.5860058,0.57675856
0.99504775,0.56743526,0.56892675
0.99999994,0.6244564,0.6244564
0.97724706,0.6222087,0.62463605
0.99795985,0.81833375,0.82152826
0.9911562,0.57859737,0.589745
0.9472846,0.56959176,0.5702929
0.9999999,0.9999999,0.9999999
0.9809302,0.9921668,0.97231877
0.7326559,0.98104405,0.7437265
0.6247716,0.98472065,0.6226013
0.6175599,0.9908091,0.60764307
0.7889646,0.9275266,0.7284263
0.5625986,0.4225914,0.6139015
0.44577965,0.40155375,0.9815775
0.5921844,0.46049213,0.92427564
0.28193974,0.24663246,0.3111602
0.8130455,0.92690384,0.8157749
0.9958285,0.9958285,1.0000002
0.85517097,0.9309125,0.8507581
0.9724025,0.6429124,0.6522678
0.5810057,0.5458827,0.39791715
0.5418805,0.5249399,0.47434863
0.38811946,0.57754827,0.7157847
0.5056315,0.5582,0.55350745
0.47228163,0.471288,0.95956004
0.33253002,0.4600923,0.38197982
0.9054233,1.0000002,0.9054233
0.9999999,0.96420234,0.96420234
0.9146929,0.8580354,0.8052294
0.9838358,0.96731544,0.97450465
0.5191152,0.5686044,0.42764422
0.3424557,0.90024936,0.45965624
0.4947291,0.7148084,0.41610384
0.5803385,0.45949137,0.4899366
0.29340965,0.49166298,0.50133616
0.87601215,0.57748467,0.55684966
0.7944376,0.7988332,0.94877684
0.4302817,0.49130112,0.9158479
0.65832055,0.5532812,0.78340995
0.43704262,0.5979575,0.5967729
0.40627125,0.30980745,0.435615
0.18784772,0.255282,0.52369756
0.30274662,0.30908233,0.20776239
0.12870853,0.60976285,0.4292602
0.27698982,0.34663486,0.39401615
0.07775664,0.36702245,0.2509851
0.99545836,0.8922535,0.8924694
0.83516675,1.0000001,0.83516675
0.6643291,0.3846834,0.39179373
0.39807796,0.35353154,0.33090782
0.48027748,0.49376968,0.48396385
0.6080667,0.39859974,0.42285424
0.36040324,0.37262625,0.3562576
0.5763651,0.3312263,0.47925764
0.7323315,0.33455628,0.35350096
0.31966573,0.87444186,0.42016894
1.0000002,0.8714237,0.8714237
1.0000001,0.9782474,0.9782474
0.8944646,0.961569,0.9209906
0.9999999,0.8247903,0.8247903
0.48760092,0.41652098,0.7199329
0.5472106,0.50831455,0.93866813
1.0000002,0.9863038,0.9863038
0.49810058,0.5935201,0.7366999
0.7112646,0.6300224,0.5213637
0.7734066,0.76382923,0.9730718
0.9605663,0.9605663,1.0
0.9896623,0.9924537,0.983497
0.49134716,0.7413775,0.7645667
0.9522791,0.92029893,0.9837185
0.74863285,0.99403125,0.7653892
0.8021463,0.87771636,0.88082314
0.719779,0.71561503,0.9615058
0.84544384,0.32820565,0.35877907
0.41233176,0.4775065,0.70985067
0.99999976,0.36884758,0.36884758
0.7228385,0.7228385,1.0000001
0.54524565,0.5258315,0.51172864
0.92328143,0.5208905,0.52472955
0.46824914,0.4804241,0.6108636
0.8638712,0.86008847,0.9721668
0.48412514,0.500064,0.4276266
0.54977787,0.625785,0.55854064
0.5217308,0.54598427,0.60210377
0.3824136,0.5537805,0.4047043
0.64525545,0.9987895,0.6414123
0.99999994,0.99869955,0.99869955
0.53245497,0.8558276,0.57414556
0.44521487,0.98378026,0.4380571
0.37044466,0.5072135,0.5362261
0.969985,0.47141233,0.46773663
0.5184744,0.6984278,0.75569683
0.5522155,0.5175394,0.9812542
0.3265801,0.4262305,0.28953797
0.4641657,0.9969858,0.4805922
0.9946233,0.43082163,0.44638383
0.9841665,0.9920338,0.98664105
0.8610797,0.9944314,0.8633434
0.4348656,0.4499287,0.9508978
0.3017245,0.4394266,0.65444946
0.4051197,0.3208465,0.18507315
0.5011467,0.44357258,0.3031553
0.66589254,0.5741577,0.44166246
0.8320702,0.24627358,0.27210283
0.30574208,0.31693575,0.97925806
0.34964067,0.35600185,0.95406663
0.84261906,0.48050594,0.4836389
0.72929716,0.6091512,0.47515306
0.8093655,0.41273823,0.3296328
0.6428746,0.9797418,0.6273879
0.9707062,0.82666737,0.87218237
0.79082274,0.69261795,0.70528126
0.9970468,0.4829415,0.46508443
0.32290435,0.35168338,0.885778
0.488939,0.6381853,0.48346132
0.8598702,0.45309687,0.4347635
