sim_00_03,sim_00_07,sim_03_07
1.0000001,0.9736732,0.9736732
0.8564787,0.9905869,0.8663766
0.50654846,0.7584413,0.5910243
0.9999998,0.94635403,0.94635403
0.9999999,0.95064443,0.95064443
0.9929892,0.9923651,0.99975085
0.9536172,0.47420537,0.5075157
0.77475816,0.74158055,0.83117723
0.5549649,0.92876655,0.54983044
0.32938838,0.50021434,0.62800753
0.2771256,0.83220315,0.49413943
0.94875276,0.7431521,0.7008903
0.9486944,0.41351417,0.4217011
0.3433566,0.35575968,0.49262056
0.5252046,0.64243275,0.29172143
0.2824967,0.2713583,0.25400275
0.47986674,0.5029806,0.44518635
0.9496657,0.13360813,0.17932041
0.38519576,0.31945932,0.1479318
0.24938288,0.72524476,0.28029078
0.97385585,0.7728123,0.7748203
0.9700698,0.71400046,0.7251947
0.99999994,0.6499207,0.6499207
0.83049136,0.47532195,0.50334847
0.99999994,0.41136602,0.41136602
0.95794195,0.65491784,0.7304251
0.63188195,0.749829,0.58292615
0.6685305,0.6784451,0.5295974
0.55515647,0.69814014,0.47911006
0.40780962,0.36428905,0.5170913
0.82541144,0.90700024,0.7396278
0.9295488,0.9093188,0.855635
0.94683504,0.5754245,0.655859
0.58812743,0.5593795,0.56799114
0.5086595,0.52634084,0.966101
0.44558892,0.4553882,0.43543428
0.39124393,0.55840737,0.32760778
0.98573256,0.34259075,0.35133862
0.5116483,0.40001294,0.6483416
0.22347508,0.31946096,0.31215483
0.9999999,0.9999999,0.9999999
1.0000001,0.89614457,0.89614457
0.9658278,0.945766,0.9590508
0.5144063,0.3931601,0.6704591
0.8915983,0.6292368,0.55304176
0.3627162,0.29519784,0.56747144
0.95729744,0.16275133,0.12882942
0.38681275,0.4373993,0.25358227
0.24428251,0.2502126,0.8788815
0.32408443,0.35043854,0.60725224
0.99999994,0.9928606,0.9928606
0.92740095,0.98863566,0.9095968
0.9756358,0.8517215,0.86668134
0.4972626,0.61780363,0.74880403
0.58782756,0.25903586,0.4148416
0.5135912,0.32188565,0.35399285
0.8969302,0.5949401,0.62513024
0.44132715,0.5068229,0.6683099
0.6144143,0.53663653,0.89722955
0.5039687,0.394313,0.291396
1.0000002,0.9946712,0.9946712
0.5174727,0.5089406,0.9922989
0.3305873,0.314771,0.99624044
0.3604025,0.51951116,0.26684958
0.3545814,0.80925083,0.48913544
0.23462048,0.52007866,0.5356976
0.22763295,0.21639308,0.9304038
0.69927883,0.79904866,0.6137513
0.38607183,0.3980527,0.56645536
0.26746377,0.29281774,0.31963357
0.9815983,0.9864572,0.9900509
0.9675762,0.9899661,0.94927406
0.9531367,0.9721767,0.9751578
0.9999999,0.9986983,0.9986983
0.6438095,0.64148974,0.53519046
0.53617316,0.22804755,0.44063973
0.6581089,0.500301,0.5049187
0.27711147,0.41671783,0.36250108
0.5618153,0.2134225,0.44050273
0.91008496,0.9109405,0.9979121
1.0,0.98560655,0.98560655
0.46785945,0.42352766,0.97726977
0.5050093,0.5353143,0.5604313
0.44028166,0.93941367,0.4670553
0.44685408,0.4359626,0.5655396
0.49756414,0.529681,0.54972816
0.5807885,0.59869146,0.96836597
0.47198474,0.64922494,0.42483366
0.44206727,0.49716267,0.67626584
0.7048475,0.59706956,0.5765006
0.8394824,0.9979168,0.8378588
0.5534196,0.54445434,0.84565103
0.52627796,0.5897225,0.7965992
0.8009212,0.5487164,0.4934334
0.46124327,0.5046703,0.7974924
0.5024306,0.71250385,0.643829
0.50625086,0.8570759,0.5533768
0.4605,0.34559435,0.4331956
0.9989172,0.5184941,0.52329886
0.7651489,0.65044326,0.576884
0.87710315,0.90022814,0.90939975
0.5189303,0.6813909,0.447009
0.7633852,0.76890427,0.9718172
0.7072681,0.4154673,0.48734295
0.68733066,0.37512058,0.55427724
0.08664665,0.4452647,0.30500722
0.412844,0.28149056,0.49244177
0.15812537,0.41455668,0.20196745
0.36104256,0.43272707,0.2730254
0.8966162,0.18304767,0.16857466
0.91904473,0.85372066,0.9481763
0.6443846,0.4413218,0.77580285
0.749331,0.6830305,0.64738214
0.5410161,0.778319,0.6928694
0.57585245,0.5311721,0.9045524
0.40112996,0.35720283,0.92336416
0.33261538,0.24502209,0.918213
0.7029407,0.49852276,0.42420915
0.65597343,0.35787356,0.4108326
0.7686344,0.5293469,0.4707885
0.94887096,0.9999999,0.94887096
1.0,0.88643795,0.88643795
0.4373191,0.9865236,0.44668382
0.5497753,0.5528466,0.96477103
0.43420976,0.78114814,0.49427694
0.38049984,0.5019069,0.59917
0.44804078,0.45755744,0.7110273
0.1682896,0.31897473,0.5308454
0.30015948,0.3149135,0.43764645
0.3865093,0.32460564,0.3610521
1.0000002,0.98979306,0.98979306
0.7184111,0.7805453,0.9557037
1.0,1.0,1.0
0.58023494,0.77958155,0.62905663
0.53512377,0.6241987,0.60029507
0.5122215,0.5122215,1.0000001
0.36082673,0.5902587,0.42449123
