Page,Question,Answer
page_4.png,What was the total amount of cash dividends returned to shareholders by BHP since 1 July 2021?,BHP returned over US$42 billion in cash dividends to shareholders since 1 July 2021.  
page_4.png,"How much did BHP contribute to global economic distribution in FY2024 through employment, community partnerships, payments to local suppliers, and taxes and royalties paid to governments?",BHP contributed US$49.2 billion to global economic distribution in FY2024.  
page_4.png,What was the year-on-year percentage increase in female employee participation at BHP in FY2024?,There was a 1.9 percentage point year-on-year increase in female employee participation at BHP in FY2024.  
page_4.png,What progress did BHP report regarding Indigenous employee participation in Chile and Canada in FY2024?,Indigenous employee participation at BHP reached 10.1 percent in Chile and 11.2 percent in Canada in FY2024.  
page_4.png,"How much did BHP invest in voluntary social investment in FY2024, and what areas did this support?","BHP invested US$137 million in voluntary social investment in FY2024, supporting community and environmental initiatives.  "
page_4.png,What significant environmental achievement did BHP highlight in FY2024?,BHP completed all of its FY2024 Australian Reconciliation Action Plan targets and reforms and continued progress towards reducing operational greenhouse gas emissions.  
page_4.png,Who joined BHP’s Board as Non-executive Directors in FY2024 and what relevant experience do they bring?,"Ross McEwan joined as a Non-executive Director in April 2024, bringing deep experience in capital allocation, risk management, and value creation, and Don Lindsay joined in May 2024, bringing over 40 years of experience in the resources sector and investment banking.  "
page_4.png,"Which Board members retired from BHP during FY2024, and when?","Ian Cockerill retired from the Board in October 2023, and Terry Bowen retired from the Board in April 2024.  "
page_4.png,What is BHP’s stated approach to creating long-term sustainable shareholder value?,"BHP’s approach is disciplined capital management through their Capital Allocation Framework and creating social value within their social value framework, focusing on decarbonisation, the environment, Indigenous partnerships, workforce, communities, and supply chains.  "
page_4.png,How does BHP describe its portfolio in terms of future growth and resilience?,"BHP’s portfolio consists of world-class assets focused on products that are critical to the future and positioned for growth, yet resilient and able to withstand volatility, thereby continuing to deliver financial and social value over the long term. "
page_5.png,What was BHP's underlying attributable profit for FY2024?,BHP's underlying attributable profit for FY2024 was US$13.7 billion.  
page_5.png,How much did BHP distribute in dividends per share for the year?,BHP distributed dividends totaling 146 US cents per share for the year.  
page_5.png,What significant production record did BHP achieve in FY2024 at Western Australia Iron Ore (WAIO)?,"BHP achieved an annual production record at Western Australia Iron Ore (WAIO), making it the world’s lowest-cost iron ore producer.  "
page_5.png,Which copper asset integrations contributed to BHP exceeding South Australia’s production target in FY2024?,"The integration of Prominent Hill and Carrapateena with Olympic Dam delivered greater-than-expected synergies, helping to exceed South Australia’s production target.  "
page_5.png,What is the current status of the Jansen potash project in Canada?,"Construction of the Jansen potash project is ahead of the original schedule, with first production expected in just over two years, and Jansen Stage 2 has been approved.  "
