Page,Question,Answer
page_4.png,What was BHP's overall performance like in FY2024?,BHP reported strong operational and financial performance and made solid progress against its social value and sustainability commitments.  
page_4.png,What is the core of BHP's current portfolio strategy?,"BHP's portfolio is focused on future-facing commodities, positioned for growth, yet resilient and able to withstand volatility, delivering both financial and social value.  "
page_4.png,What significant safety incident occurred in FY2024?,"A contracting partner, Luke O'Brien, was fatally injured in a vehicle incident at the Saraji mine in Queensland in January.  "
page_4.png,What are BHP's key strategic priorities?,"BHP's strategic priorities are safety, culture and capability, capital discipline, continued development of its world-class portfolio, and social value creation.  "
page_4.png,What specific actions is BHP taking to foster safe and inclusive workplaces?,"BHP is committed to eliminating sexual harassment, racism, and bullying, and is actively working to increase female and Indigenous employee participation.  "
page_4.png,How does BHP view its role in the context of global development?,"BHP recognizes its role in providing the metals and minerals needed for sustainable development, addressing the demands of a growing and urbanizing population and the energy transition.  "
page_4.png,What is BHP's approach to capital allocation in FY2024?,"BHP adopted a disciplined approach to capital allocation, leading to the Board determining dividends totaling US$7.4 billion for shareholders.  "
page_4.png,What was BHP's total global economic contribution in FY2024?,BHP's total global economic contribution was US$49.2 billion.  
page_4.png,What are the key areas of focus for BHP's social framework?,"The six pillars of BHP's social framework are decarbonization, the environment, Indigenous partnerships, workforce, communities, and supply chains.  "
page_4.png,What is BHP's outlook for FY2025?,"BHP expects challenging economic conditions in FY2025 due to geopolitical issues creating volatility and impacting global markets, but remains optimistic about its future given its portfolio and strategic focus."
page_5.png,What was BHP's underlying attributable profit for FY2024?,BHP achieved an underlying attributable profit of US$13.7 billion.  
page_5.png,What is BHP's primary focus regarding safety?,BHP prioritizes eliminating fatalities and serious injuries at its operations.  
page_5.png,What production records did BHP achieve in FY2024 related to iron ore and copper?,"BHP achieved an annual production record at Western Australia Iron Ore (WAIO) and record production at copper assets Spence and Carrapateena, along with the highest copper production in four years at Escondida.  "
page_5.png,What is the status of the Jansen potash project?,"Construction is ahead of schedule, with first production expected in just over two years.  Jansen Stage 2 has been approved.  "
page_5.png,What strategic acquisition did BHP make in the copper sector in July 2024?,BHP acquired a 50% interest in the Filo del Sol and Josemaria copper projects with Lundin Mining in Argentina and Chile.  
page_5.png,What are the three strategic pillars of BHP's winning strategy?,"Safety and sustainability, exceptional performance, and winning portfolio.  "
page_5.png,How much did BHP increase its supplier spend with Indigenous businesses in FY2024?,BHP increased spending with Indigenous businesses by 83% to over US$600 million.  
page_5.png,What is BHP's operational GHG emissions reduction target for FY2030?,At least a 30% reduction against an FY2020 baseline.  
page_5.png,What action did BHP take regarding its steelmaking coal portfolio in Queensland?,BHP sold the Daunia and Blackwater mines.  
page_5.png,What decision was made regarding Western Australia Nickel in July 2024?,BHP transitioned Western Australia Nickel into a period of temporary suspension due to global oversupply of nickel.
page_16.png,What was BHP's underlying attributable profit for FY2024?,"BHP's underlying attributable profit was US$13.7 billion, a 2% increase compared to FY2023.  "
page_16.png,What was BHP's underlying EBITDA and margin for FY2024?,"Underlying EBITDA increased by 4% to US$29 billion, with a margin of 54%.  "
page_16.png,What was BHP's return on capital employed in FY2024?,BHP's return on capital employed was 27.2%.  
page_16.png,How much net operating cash flow did BHP generate in FY2024?,BHP generated more than US$20 billion in net operating cash flow.  
page_16.png,"How much did BHP invest in FY2024, and what were the key investment areas?","BHP invested US$9.3 billion, including US$5.9 billion in organic development (US$2.7 billion on copper projects, US$1.1 billion at Jansen, and US$0.5 billion on exploration), and US$3.0 billion on maintenance and decarbonization.  "
page_16.png,"What was BHP's copper production growth in FY2024, and what is the expected growth for FY2025?",BHP achieved 9% copper production growth in FY2024 and expects a further 4% increase in FY2025.  
page_16.png,What is the status of the Jansen Stage 1 project?,Jansen Stage 1 is progressing well and is over 50% complete.  
page_16.png,What were the significant impairments and gains recognized by BHP during FY2024?,"BHP recognized a US$2.7 billion impairment on Western Australia Nickel operations and a US$3.8 billion charge related to the Samarco dam failure, partially offset by a US$0.7 billion (post-tax) gain on the disposal of the Blackwater and Daunia mines.  "
page_16.png,What is BHP's total planned potash production capacity after the Jansen Stage 2 investment?,BHP's total planned potash production capacity will be ~8.5 Mtpa after the Jansen Stage 2 investment.  
page_16.png,What was BHP's total direct economic contribution in FY2024?,BHP's total direct economic contribution in FY2024 was US$49.2 billion.
page_17.png,In what currency are BHP's Consolidated Financial Statements published?,BHP's Consolidated Financial Statements are published in US dollars.  
page_17.png,Where can one find more information regarding BHP's approach to executive remuneration?,Information on BHP's approach to executive remuneration can be found in the Remuneration Report.  
page_17.png,What accounting standards does BHP use to prepare its Consolidated Financial Statements?,BHP prepares its Consolidated Financial Statements in accordance with International Financial Reporting Standards (IFRS).  
page_17.png,What was BHP's revenue for the fiscal year 2024?,BHP's revenue for FY2024 was $55.658 billion.  
page_17.png,How much were the dividends per ordinary share paid during FY2024?,Dividends per ordinary share paid during FY2024 were 152.0 US cents.  
page_17.png,"What were BHP's total assets as of June 30, 2024?","BHP's total assets were $102.362 billion as of June 30, 2024.  "
page_17.png,What was BHP's net operating cash flow for FY2024?,BHP's net operating cash flow for FY2024 was $20.665 billion.  
page_17.png,What is BHP's underlying attributable profit for FY2024?,BHP's underlying attributable profit for FY2024 was $13.7 billion.  
page_17.png,How does BHP classify the contribution of its former Petroleum assets to its results after the merger with Woodside?,The contribution of the former Petroleum assets is presented as Discontinued operations.  
page_17.png,Where can one find more details about the contribution of the Petroleum assets to BHP's results?,"Details about the contribution of the Petroleum assets can be found in Financial Statements note 28, 'Discontinued operations'."
page_18.png,"What was BHP's total revenue for the year ended June 30, 2024?","BHP's revenue for the year ended June 30, 2024, was $55.658 billion.  "
page_18.png,What was the profit after taxation from continuing operations for FY2024?,$9.601 billion.  
page_18.png,What were the exceptional items before taxation in FY2024?,$6.600 billion.  
page_18.png,What is BHP's definition of Net Operating Cash Flows?,"Cash generated by the Group's consolidated operations, after dividends received, interest, proceeds and settlements of cash management related instruments, taxation and royalty-related taxation. It excludes cash flows relating to investing and financing activities.  "
page_18.png,What was the Underlying Attributable Profit for FY2024?,$13.660 billion.  
page_18.png,Why does BHP use Underlying Attributable Profit as a key performance indicator?,It allows comparability of underlying financial performance by excluding the impacts of exceptional items.  
page_18.png,"What was the value of Impairments of property, plant and equipment, financial assets and intangibles excluding exceptional items in FY2024?",$5.295 billion.  
page_18.png,What was the Net Debt at the end of the period in FY2024?,$9.120 billion.  
page_18.png,What does BHP's Underlying Return on Capital Employed represent and what was the value for FY2024?,"It's an indicator of the Group's capital efficiency, provided on an underlying basis for comparability, and was 27.2% in FY2024.  "
page_18.png,What was the attributable profit to BHP shareholders in FY2024?,$7.897 billion.
page_19.png,What was the profit after taxation attributable to BHP shareholders in FY2024?,US$7.9 billion.  
page_19.png,What was the primary reason for the decrease in profit after taxation from FY2023 to FY2024?,"An exceptional loss of US$5.8 billion, including an exceptional loss of US$2.7 billion in the prior period.  "
page_19.png,What was the primary driver of the FY2024 exceptional loss?,The global nickel market decline and subsequent impairment at Western Australia Nickel (WAN).  
page_19.png,What was the impact of the Samarco dam failure and the divestment of Blackwater and Daunia coal assets on the FY2024 results?,"The Samarco impacts resulted in a US$3.8 billion (after tax) loss, partially offset by a US$0.7 billion (after tax) gain from the Blackwater and Daunia divestment.  "
page_19.png,What was the percentage increase in revenue from FY2023 to FY2024?,3 percent.  
page_19.png,What were the primary drivers of the revenue increase in FY2024?,"Higher average realised prices for iron ore and copper, combined with higher sales volumes, partially offset by lower average realised prices for thermal coal and nickel.  "
page_19.png,What was the primary reason for the increase in total expenses (excluding net finance costs) in FY2024?,A higher impairment expense of US$3.8 billion for WAN due to the deteriorated short and medium-term outlook for nickel.  
page_19.png,What contributed to the higher external contractor services expenses in FY2024?,"The full-year contribution of Prominent Hill and Carrapateena acquisitions, impacts of inflation across the Group, additional stripping and contractor costs at Spence, and higher tailings work and contractor costs in line with higher volumes at NSWEC.  "
page_19.png,What was the primary driver of the increase in net finance costs in FY2024?,Higher market interest rates.  
page_19.png,What was the Underlying EBITDA for FY2024?,"US$ 29,016 million."
page_20.png,What were BHP's net operating cash flows from Continuing operations in FY2024?,BHP's net operating cash flows from Continuing operations were US$20.7 billion in FY2024.  
page_20.png,How did BHP's net investing cash flows from Continuing operations change between FY2023 and FY2024?,"Net investing cash outflows decreased by US$4.3 billion, from US$13.1 billion in FY2023 to US$8.8 billion in FY2024.  "
page_20.png,What contributed to the decrease in net investing cash outflows in FY2024?,"The decrease primarily reflects the non-recurrence of the US$5.9 billion OZL acquisition and the US$1.1 billion proceeds from the divestment of Blackwater and Daunia, partially offset by higher capital expenditure.  "
page_20.png,What was the primary driver of the increase in net financing cash outflows in FY2024?,"The increase reflects a net movement in repayments/proceeds of interest-bearing liabilities of US$7.1 billion, mainly due to the OZL acquisition facility repayment and higher bond issuances.  "
page_20.png,What was BHP's underlying ROCE in FY2024 and how did it change compared to FY2023?,"Underlying ROCE was 27.2% in FY2024, a decrease of 1.6 percentage points from FY2023.  "
page_20.png,What were the primary objectives of BHP's debt and liquidity management policies?,"The objectives were a strong balance sheet, diversification of funding sources, and maintaining borrowings and excess cash predominantly in US dollars.  "
page_20.png,What was BHP's net debt at the end of FY2024 and how did it compare to FY2023?,"Net debt was US$9.1 billion at the end of FY2024, a decrease of US$2.0 billion compared to FY2023.  "
page_20.png,What factors contributed to the decrease in net debt in FY2024?,"The decrease was primarily due to US$20.7 billion operating cash flows and US$1.1 billion proceeds from divestments, partially offset by US$9.3 billion in capital and exploration expenditure and US$9.1 billion in dividend payments.  "
page_20.png,What was BHP's gearing at the end of FY2024?,Gearing was 15.7% at the end of FY2024.  
page_20.png,What factors contributed to the decrease in gross debt during FY2024?,"The decrease reflects the repayment of the US$5.0 billion OZL acquisition facility, repayment of USD and EUR senior notes, partially offset by the issuance of US$4.75 billion of US bonds."
page_83.png,What was BHP's total copper revenue for FY2024?,BHP's copper revenue for FY2024 was US$18.566 billion.  
page_83.png,What was the Underlying EBITDA for BHP's copper segment in FY2024?,Underlying EBITDA for copper reached US$8.564 billion in FY2024.  
page_83.png,How did total copper production change between FY2023 and FY2024?,"Total copper production increased by 9% to 1,865 kt in FY2024.  "
page_83.png,What was the average realized price of copper for BHP in FY2024?,The average realized copper price was US$3.98/lb in FY2024.  
page_83.png,What was the unit cost of copper production at Escondida in FY2024?,The unit cost at Escondida was US$1.45/lb in FY2024.  
page_83.png,What contributed to the increase in Escondida's copper production in FY2024?,Higher concentrator feed grade (0.88% compared to 0.82% in FY2023) primarily contributed to the increase in Escondida's production.  
page_83.png,What impact did the acquisition of OZ Minerals have on Copper South Australia production?,"The acquisition of OZ Minerals led to a 39% increase in Copper South Australia production, reaching 322 kt in FY2024.  "
page_83.png,What is BHP's outlook for total copper production in FY2025?,"BHP expects total copper production between 1,845 and 2,045 kt in FY2025.  "
page_83.png,What are the expected Escondida unit costs for FY2025?,Escondida unit costs are expected to be between US$1.30 and US$1.60 per pound in FY2025 (at an exchange rate of USD/CLP 842).  
page_83.png,Where can one find the definition and calculation method for non-IFRS financial measures such as Underlying EBITDA and Unit Costs?,The definitions and calculation methods for these non-IFRS measures are provided in OFR 10.
