Page,Question,Answer
page_2.png,What is the core purpose stated by Commonwealth Bank?,"Building a brighter future for all, which embodies their role in supporting customers and economic growth.  "
page_2.png,How does Commonwealth Bank describe its current balance sheet?,"Resilient, enabling them to support customers and the nation when most needed.  "
page_2.png,What actions did Commonwealth Bank take in response to the rising cost of living and interest rates affecting Australians?,They reviewed their strategy and balance sheet settings to ensure they could effectively support customers and the broader economy.  
page_2.png,"How many home loans did Commonwealth Bank provide this year, and what was the total value of business loans?","They helped over 120,000 customers buy homes and lent $39 billion to businesses.  "
page_2.png,What digital tools does Commonwealth Bank offer to help customers manage cost of living pressures?,"They offer money management tools, which are used by around 3 million customers monthly.  "
page_2.png,"What was the total amount lost to scams in Australia in 2023, and how much did Commonwealth Bank invest in fraud prevention?","Australians lost $2.7 billion to scams, and Commonwealth Bank invested over $800 million in customer protection.  "
page_2.png,What is Commonwealth Bank's stated ambition regarding data and technology?,"To safely harness data and use technology, including artificial intelligence, to provide superior, intuitive digital services and improved customer experience.  "
page_2.png,What commitment has Commonwealth Bank made regarding its regional branches?,They have committed to keeping all CBA-branded regional branches open until at least the end of 2026.  
page_2.png,"What is Commonwealth Bank's dividend payout ratio, and what was the final dividend declared per share?","The dividend payout ratio increased to 79%, and the final dividend declared was $2.50 per share, fully franked.  "
page_2.png,"According to the outlook, what is the current state of the Australian economy?","The Australian economy remains resilient with low unemployment, continued private and public investment, and exports supporting national income.  Higher interest rates are slowing the economy and gradually moderating inflation."
page_28.png,What was Commonwealth Bank's statutory net profit after tax (NPAT) for the 2024 financial year?,"$9,481 million.  "
page_28.png,How did the 2024 statutory NPAT compare to the 2023 result?,It decreased by 6%.  
page_28.png,What was the primary driver of the reduction in NPAT?,"Inflationary increases in operating expenses, partially offset by lower loan impairment expense.  "
page_28.png,What was the final dividend per share for FY2024?,"$2.50 per share, fully franked.  "
page_28.png,What is Commonwealth Bank's target payout ratio range for cash NPAT?,70-80%.  
page_28.png,What was the total shareholder return (TSR) for CBA over a 1-year period?,44%.  
page_28.png,What was the Return on Equity (ROE) for FY2024?,13.6%.  
page_28.png,How are Earnings Per Share (EPS) calculated?,By dividing net profit after tax by the number of shares on issue.  
page_28.png,What was the volume growth in home lending during FY2024?,"+$11.6 billion, representing 0.5% system growth.  "
page_28.png,What was the Common Equity Tier 1 capital ratio for FY2024?,12.3%.
page_29.png,"What was the Cash NPAT for FY24 and FY23, and what is management's view on Cash NPAT as a performance metric?","Cash NPAT was $9,836 million in FY24 and $10,072 million in FY23. Management considers Cash NPAT its preferred measure of the Group's financial performance as it excludes non-cash items.  "
page_29.png,What were the primary drivers of the 2% decrease in Cash NPAT?,"The decrease was primarily due to the impact of inflation on operating expenses, partially offset by lower loan impairment expense.  "
page_29.png,What was the total operating income for FY24 and FY23?,"Total operating income was $27,174 million in FY24 and $27,135 million in FY23.  "
page_29.png,How did Other Operating Income perform in FY24 and what were the key drivers?,"Other operating income increased by 7% in FY24. Key drivers included increased foreign exchange and card income due to higher transaction volumes, higher lending fee income, and improved markets trading income, partially offset by lower equities income.  "
page_29.png,"What was the Net Interest Margin (NIM) for FY24 and FY23, and what caused the change?",NIM was 1.99% in FY24 and 2.07% in FY23. The decrease was primarily driven by intense competition for home loans and customers switching to higher-yielding term deposits.  
page_29.png,"What were the total operating expenses for FY24 and FY23, and what was the percentage change?","Operating expenses were $12,218 million in FY24 and $11,858 million in FY23, representing a 3% increase.  "
page_29.png,What were the primary drivers of the increase in staff costs in FY24?,Staff costs increased 4% due to wage inflation and a higher average number of full-time equivalent staff.  
